pk,jsondata,id,name,description,markup_description
1,"{""vdoc"": ""0==No||1==Yes""}",ICU17,Is plurality in independent pronouns expressed with a stem and a pronominal plural affix?,"Corresponds to WALS feature number: 35 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
2,"{""vdoc"": ""0==No||1==Yes""}",ICU16,Is plurality in independent pronouns expressed with a stem and a nominal plural affix?,"Corresponds to WALS feature number: 35 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
3,"{""vdoc"": ""0==No||1==Yes""}",ICU15,Is plurality in independent pronouns expressed with unanalyzable person-number stems?,"Corresponds to WALS feature number: 35 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
4,"{""vdoc"": ""0==No||1==Yes""}",ICU14,Is an associative or collective plural distinguished from the additive plural?,"Corresponds to WALS feature number: 36 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
5,"{""vdoc"": ""0==No||1==Yes""}",ICU13,Are nouns denoting inanimates marked for plural?,"Corresponds to WALS feature number: 34 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
6,"{""vdoc"": ""0==No||1==Yes""}",ICU12,Are nouns denoting animates marked for plural?,"Corresponds to WALS feature number: 34 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
7,"{""vdoc"": ""0==No||1==Yes""}",ICU11,Are nouns denoting humans marked for plural?,"Corresponds to WALS feature number: 34 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
8,"{""vdoc"": ""0==No||1==Yes""}",ICU10,Is nominal plural marking obligatory?,"Corresponds to WALS feature number: 34 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
9,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-11,Is a distinction between realis/irrealis mood available as a morphological choice?,,
10,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-10,Is a distinction between punctual/continuous aspect available as a morphological choice?,,
11,"{""vdoc"": ""0==No||1==Yes""}",ARW3-2-12,Is there an apprehensive modal category marked on the verb,"also known as 'evitative', 'lest', etc",
12,"{""vdoc"": ""0==No||1==Yes""}",ICU19,Are pronominal subjects obligatory pronouns in subject position?,"Corresponds to WALS feature number: 101 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
13,"{""vdoc"": ""0==No||1==Yes""}",ICU18,Do second person pronouns encode a politeness distinction?,"Corresponds to WALS feature number: 45 [http://wals.info], Constenla feature number: na [Constenla Umaña, Adolfo. (1991) Las lenguas del área intermedia: introducción a su estudio areal. San José: Universidad de Costa Rica.]",
