pk,jsondata,id,name,description,markup_description
1,"{""vdoc"": ""Y/N""}",SUB24-1,Can it encode realis conditional clauses?,,
2,"{""vdoc"": ""Y/N""}",SUB24-2,Can it encode counterfactual conditional clauses?,,
3,"{""vdoc"": ""Y/N""}",SUB23-3,Can it encode avertive clauses?,,
4,"{""vdoc"": ""Y/N""}",SUB23-2,Can it encode DS purpose clauses?,,
5,"{""vdoc"": ""Y/N""}",SUB23-1,Can it encode SS purpose clauses?,,
6,"{""vdoc"": ""Y/N""}",SUB27-2,Can it encode DS desiderative relations?,,
7,"{""vdoc"": ""Y/N""}",SUB27-1,Can it encode SS desiderative relations?,,
8,"{""vdoc"": ""Y/N""}",SUB2-1,Are the same forms used as in the main clause?,,
9,"{""vdoc"": ""A = preceding, B = following, C = internal D = variable""}",SUB14-1,What is the position of the subordinator wrt the subordinate clause?,,
10,"{""vdoc"": ""Y/N""}",SUB34,Can this construction be used for A-relatives?,,
11,"{""vdoc"": ""Y/N""}",SUB35,Can this construction be used for O-relatives?,,
12,"{""vdoc"": ""Y/N""}",SUB32,Can this construction be used as a subject in equative relations?,,
13,"{""vdoc"": ""Y/N""}",SUB33,Can this construction be used for S-relatives?,,
14,"{""vdoc"": ""Y/N""}",SUB30,Can this construction be used for perception relations?,,
15,"{""vdoc"": ""Y/N""}",SUB31,Can this construction be used for indirect utterance relations?,,
16,"{""vdoc"": ""Y/N""}",SUB14,Is there a (semi-) free form marking the subordinate clause as such?,,
17,"{""vdoc"": ""Y/N""}",SUB15,Can the construction involve a relativized argument (NP-rel)?,,
18,"{""vdoc"": ""A = can be negated independently, B = cannot be negated independently and negation is marked only once for the whole construction, C = cannot be negated independently and negation must be marked for all elements""}",SUB16,Can the subordinate EDU?be negated independently?,,
19,"{""vdoc"": ""Y/N""}",SUB14-2,Is switch-reference marked by the use of different free dependency markers?,,
20,"{""vdoc"": ""A=no, B=yes, C=yes, but undistinguishable from verbal marking""}",SUB10,Can the object of the subordinate EDU be marked as a possessor?,,
21,"{""vdoc"": ""Y/N""}",SUB11,Can the subordinate EDU trigger agreement on other elements (comments: for which feature)?,,
22,"{""vdoc"": ""Y/N""}",SUB15-2,Can NP-rel be left unexpressed?,,
23,"{""vdoc"": ""Y/N""}",SUB13,Is the subordinate EDU normally marked as such with a separate bound morpheme (dependency marker)? Mention which ones in comment box),,
24,"{""vdoc"": ""Y/N""}",SUB6,Can epistemic and/or evidential categories be expressed independently for the subordinate EDU?,,
25,"{""vdoc"": ""Y/N""}",SUB7,Can the EDU be case-marked or marked by an adposition?,,
26,"{""vdoc"": ""Y/N""}",SUB4,Can aspectual categories be expressed independently for the subordinate EDU?,,
27,"{""vdoc"": ""Y/N""}",SUB5,Can event-modal categories be expressed independently for the subordinate EDU?,,
