pk,comment,example,contributed_datapoint
1,,,Swintha Danielsen 2008-05-25
2,,,Swintha Danielsen 2008-05-25
3,,,Swintha Danielsen 2008-05-25
4,,,Swintha Danielsen 2008-05-25
5,,,Swintha Danielsen 2008-05-25
6,,,Swintha Danielsen 2008-05-25
7,,,Loretta O'Connor 2012-11-01
8,"only a restricted small group, not obligatory",,Swintha Danielsen 2008-05-25
9,,,Swintha Danielsen 2008-05-25
10,,,Swintha Danielsen 2008-05-25
11,,,Swintha Danielsen 2008-05-25
12,,,Swintha Danielsen 2008-05-25
13,,,Swintha Danielsen 2008-05-25
14,,,Swintha Danielsen 2008-05-25
15,,,Swintha Danielsen 2008-05-25
16,,,Swintha Danielsen 2008-05-25
17,,,Swintha Danielsen 2008-05-25
18,,,Loretta O'Connor 2012-11-01
19,,,Loretta O'Connor 2012-11-01
20,,,Swintha Danielsen 2008-05-25
21,,,Swintha Danielsen 2008-05-25
22,,,Loretta O'Connor 2012-11-01
23,,,Loretta O'Connor 2012-11-01
24,,,Swintha Danielsen 2008-05-25
25,,,Swintha Danielsen 2008-05-25
26,,,Loretta O'Connor 2012-11-01
27,,,Swintha Danielsen 2008-05-25
28,,,Loretta O'Connor 2012-11-01
29,,,Loretta O'Connor 2012-11-01
30,,,Swintha Danielsen 2008-05-25
31,,,Loretta O'Connor 2012-11-01
32,,,Swintha Danielsen 2008-05-25
33,,,Swintha Danielsen 2008-05-25
34,,,Swintha Danielsen 2008-05-25
35,,,Loretta O'Connor 2012-11-01
36,,,Loretta O'Connor 2012-11-01
37,,,Swintha Danielsen 2008-05-25
38,,,Swintha Danielsen 2008-05-25
39,,,Swintha Danielsen 2008-05-25
40,,,Loretta O'Connor 2012-11-01
41,,,Swintha Danielsen 2008-05-25
42,,,Loretta O'Connor 2012-11-01
43,,,Swintha Danielsen 2008-05-25
44,,,Swintha Danielsen 2008-05-25
45,,,Loretta O'Connor 2012-11-01
46,,,Swintha Danielsen 2008-05-25
47,,,Swintha Danielsen 2008-05-25
48,,,Swintha Danielsen 2008-05-25
49,,,Swintha Danielsen 2008-05-25
50,,,Swintha Danielsen 2008-05-25
51,,,Swintha Danielsen 2008-05-25
52,,,Loretta O'Connor 2012-11-01
53,,,Loretta O'Connor 2012-11-01
54,,,Loretta O'Connor 2012-11-01
55,,,Loretta O'Connor 2012-11-01
56,,,Loretta O'Connor 2012-11-01
57,,,Loretta O'Connor 2012-11-01
58,,,Loretta O'Connor 2012-11-01
59,,,Loretta O'Connor 2012-11-01
60,,,Loretta O'Connor 2012-11-01
61,,,Loretta O'Connor 2012-11-01
62,,,Loretta O'Connor 2012-11-01
63,,,Loretta O'Connor 2012-11-01
64,,,Loretta O'Connor 2012-11-01
65,,,Loretta O'Connor 2012-11-01
66,,,Loretta O'Connor 2012-11-01
67,,,Loretta O'Connor 2012-11-01
68,,,Loretta O'Connor 2012-11-01
69,,,Loretta O'Connor 2012-11-01
70,,,Loretta O'Connor 2012-11-01
71,,,Loretta O'Connor 2012-11-01
72,,,Loretta O'Connor 2012-11-01
73,,,Loretta O'Connor 2012-11-01
74,,,Loretta O'Connor 2012-11-01
